
MAME GP2X GAMELIST (1204 romsets)

Name      Description
karnov_r  "Karnov's Revenge / Fighter's History Dynamite"
kick      "Kick (mirror version)"
kicka     "Kick (upright version)"
kickridr  "Kick Rider"
kicker    "Kicker"
kidniki   "Kid Niki, Radical Ninja"
killcom   "Killer Comet"
kingball  "King & Balloon"
kod       "King Of Dragons (World)"
kodb      "King Of Dragons (bootleg)"
kingofb   "King of Boxer (English)"
kingofbj  "King of Boxer (Japanese?)"
kodj      "King of Dragons (Japan)"
kotm2     "King of the Monsters 2"
kingofm   "King of the Monsters"
kizuna    "Kizuna Encounter Super Tag Battle"
klax      "Klax (set 1)"
klax2     "Klax (set 2)"
klax3     "Klax (set 3)"
knightsj  "Knights of the Round (Japan)"
knights   "Knights of the Round (World)"
kncljoe   "Knuckle Joe (set 1)"
konamigt  "Konami GT"
kroozr    "Kozmik Kroozr"
kram      "Kram (set 1)"
kram2     "Kram (set 2)"
krull     "Krull"
kungfud   "Kung Fu Master (Data East)"
kungfub   "Kung Fu Master (bootleg set 1)"
kungfub2  "Kung Fu Master (bootleg set 2)"
kungfum   "Kung Fu Master"
ktiger    "Kyukyoku Tiger"
ladybugb  "Lady Bug (bootleg)"
ladybug   "Lady Bug"
lagunar   "Laguna Racer"
lastblad  "Last Blade / Gekka No Kenshi"
lstduelb  "Last Duel (bootleg)"
lastduel  "Last Duel"
lastmss2  "Last Mission (Rev 5)"
lastmiss  "Last Mission (Rev 6)"
lresort   "Last Resort"
lazercmd  "Lazer Command"
lbowling  "League Bowling"
lomakaj   "Legend of Makaj"
legendos  "Legend of Success Joe / Ashita No Joe Densetsu"
lwingsjp  "Legendary Wings (Japan)"
lwings    "Legendary Wings (US set 1)"
lwings2   "Legendary Wings (US set 2)"
leprechn  "Leprechaun"
liberatr  "Liberator"
lifefrcj  "Lifeforce (Japan)"
lifefrce  "Lifeforce (US)"
liquidk   "Liquid Kids"
lizwiz    "Lizard Wizard"
lnc       "Lock'n'Chase"
locomotn  "Loco-Motion"
ldrun     "Lode Runner (set 1)"
ldruna    "Lode Runner (set 2)"
ldrun2p   "Lode Runner IV - Teikoku Karano Dasshutsu"
losttomb  "Lost Tomb (easy)"
losttmbh  "Lost Tomb (hard)"
lottofun  "Lotto Fun"
llander1  "Lunar Lander (rev 1)"
llander   "Lunar Lander (rev 2)"
lrescue   "Lunar Rescue"
lupin3    "Lupin III"
m4        "M-4"
mach3     "M.A.C.H. 3"
m79amb    "M79 Ambush"
mk2       "MK 2"
madgear   "Mad Gear"
mplanets  "Mad Planets"
mswordj   "Magic Sword (Japan)"
mswordu   "Magic Sword (US)"
msword    "Magic Sword (World)"
magdrop2  "Magical Drop 2 / Toretate Zoukangou 2"
magdrop3  "Magical Drop 3 / Toretate Zoukangou III"
magspot2  "Magical Spot II"
maglord   "Magician Lord"
mahretsu  "Mahjong Kyo Retsuden"
mhavocrv  "Major Havoc (Return to Vax)"
mhavoc2   "Major Havoc (rev 2)"
mhavoc    "Major Havoc (rev 3)"
mjleague  "Major League"
gngjap    "Makai-Mura"
maketrax  "Make Trax"
maniach   "Mania Challenge (set 1)"
maniach2  "Mania Challenge (set 2)"
mappyjp   "Mappy (Japan)"
mappy     "Mappy (US)"
marble    "Marble Madness (set 1)"
marble2   "Marble Madness (set 2)"
marblea   "Marble Madness (set 3)"
marineb   "Marine Boy"
mario     "Mario Bros."
masao     "Masao"
matmania  "Mat Mania"
maxrpm    "Max RPM"
mazeh     "Maze Hunter (Japan)"
medlanes  "Meadows Lanes"
megaforc  "Mega Force"
megaman   "Mega Man - The Power Battle (Asia)"
chikij    "Mega Twins / Chiki Chiki Boys (Japan)"
mtwins    "Mega Twins / Chiki Chiki Boys (World)"
megazone  "Mega Zone"
megatack  "MegaTack"
mekyosen  "Mekyo Sensi"
mercs     "Mercs (World)"
mslug2    "Metal Slug 2"
mslug     "Metal Slug"
midresj   "Midnight Resistance (Japan)"
midres    "Midnight Resistance"
mikiehs   "Mikie (High School Graffiti)"
mikie     "Mikie"
milliped  "Millipede"
minefld   "Minefield"
mspacatk  "Miss Pac Plus"
missile   "Missile Command (set 1)"
missile2  "Missile Command (set 2)"
mrviking  "Mister Viking"
monymony  "Money Money"
miexchng  "Money Puzzle Exchanger"
monkeyd   "Monkey Donkey"
monsterb  "Monster Bash"
moonal2b  "Moon Alien Part 2 (older version)"
moonal2   "Moon Alien Part 2"
mooncrsg  "Moon Cresta (Gremlin)"
mooncrst  "Moon Cresta (Nichibutsu)"
mooncrgx  "Moon Cresta (bootleg on Galaxian hardware)"
mooncrsb  "Moon Cresta (bootleg)"
mpatrolw  "Moon Patrol (Williams)"
mpatrol   "Moon Patrol"
moonqsr   "Moon Quasar"
mranger   "Moon Ranger"
moonwalk  "Moon Walker"
moonwlkb  "Moon Walker (bootleg)"
moonwar2  "Moon War II (set 1)"
monwar2a  "Moon War II (set 2)"
mk        "Mortal Kombat (rev 3.0 08/31/92)"
motorace  "MotoRace USA"
motos     "Motos"
mtrap     "Mouse Trap"
douni     "Mr. Do vs. Unicorns"
mrdot     "Mr. Do! (Taito)"
mrdo      "Mr. Do! (Universal)"
